string	surah_frequency
زجج	{'24': 29.658368441210264}
ذعن	{'24': 29.658368441210264}
حيف	{'24': 29.658368441210264}
لوذ	{'24': 29.658368441210264}
ذهل	{'22': 30.523452897122585}
همد	{'22': 30.523452897122585}
عطف	{'22': 30.523452897122585}
مجس	{'22': 30.523452897122585}
قمع	{'22': 30.523452897122585}
ضمر	{'22': 30.523452897122585}
عمق	{'22': 30.523452897122585}
تفث	{'22': 30.523452897122585}
عتق	{'22': 30.523452897122585}
وجب	{'22': 30.523452897122585}
هدم	{'22': 30.523452897122585}
صمع	{'22': 30.523452897122585}
بار	{'22': 30.523452897122585}
سطو	{'22': 30.523452897122585}
ذبب	{'22': 30.523452897122585}
سلب	{'22': 30.523452897122585}
خشب	{'63': 211.00272479564032}
سند	{'63': 211.00272479564032}
فسح	{'58': 84.17173913043479}
جلس	{'58': 84.17173913043479}
نبز	{'49': 116.79939668174963}
لقب	{'49': 116.79939668174963}
جسس	{'49': 116.79939668174963}
ليت	{'49': 116.79939668174963}
ثيب	{'66': 162.0041841004184}
غبن	{'64': 153.95228628230615}
رصص	{'61': 182.2070588235294}
صيد	{'5': 13.833154698106465}
تيه	{'5': 13.833154698106465}
بحث	{'5': 13.833154698106465}
نفي	{'5': 13.833154698106465}
نهج	{'5': 13.833154698106465}
قسس	{'5': 13.833154698106465}
زلم	{'5': 13.833154698106465}
رمح	{'5': 13.833154698106465}
سيب	{'5': 13.833154698106465}
الل	{'9': 14.98123428129232}
كسد	{'9': 14.98123428129232}
وطن	{'9': 14.98123428129232}
نجس	{'9': 14.98123428129232}
ضها	{'9': 14.98123428129232}
كوي	{'9': 14.98123428129232}
جبه	{'9': 14.98123428129232}
ثبط	{'9': 14.98123428129232}
جمح	{'9': 14.98123428129232}
اسس	{'9': 14.98123428129232}
جرف	{'9': 14.98123428129232}
هور	{'9': 14.98123428129232}
خنق	{'5': 13.833154698106465}
وقذ	{'5': 13.833154698106465}
نطح	{'5': 13.833154698106465}
ذكو	{'5': 13.833154698106465}
عتل	{'68': 59.567692307692305, '44': 54.533802816901414}
وسم	{'68': 59.567692307692305, '15': 27.87544996400288}
زلق	{'68': 59.567692307692305, '18': 11.557910447761195}
رتل	{'73': 91.75118483412324, '25': 20.974539544962077}
نقر	{'74': 73.61026615969581, '4': 5.270042194092827}
بسر	{'75': 109.68555240793202, '74': 73.61026615969581}
لهب	{'111': 744.5961538461539, '77': 96.31592039800995}
حطب	{'111': 744.5961538461539, '72': 67.57242582897034}
كور	{'81': 159.3374485596708, '39': 16.696420871065115}
عطل	{'81': 159.3374485596708, '22': 15.261726448561292}
خنس	{'114': 1018.9210526315788, '81': 159.3374485596708}
غثو	{'87': 268.88194444444446, '23': 18.29820415879017}
حوي	{'87': 268.88194444444446, '6': 6.218920655316415}
قلي	{'93': 358.50925925925924, '26': 14.287453874538745}
عيل	{'93': 358.50925925925924, '9': 7.49061714064616}
بعثر	{'100': 466.49397590361446, '82': 226.4269005847953}
شنا	{'108': 1489.1923076923078, '5': 6.916577349053233}
دعع	{'107': 744.5961538461539, '52': 56.93970588235294}
ازف	{'53': 52.46476964769648, '40': 15.810126582278482}
صدي	{'80': 126.5326797385621, '8': 15.334257425742575}
خدد	{'85': 183.50236966824647, '31': 37.30154142581888}
رحل	{'106': 944.3658536585366, '12': 10.85782389231632}
عهن	{'101': 450.22093023255815, '70': 86.42633928571428}
نفش	{'101': 450.22093023255815, '21': 15.88797702092737}
بنن	{'75': 109.68555240793202, '8': 15.334257425742575}
نسف	{'77': 96.31592039800995, '20': 13.681625441696113}
