position	link_query
6:37:4	عَلِيّ
6:38:19	ثُمّ
6:41:2	إِيَّا
6:42:10	لَعَلّ
6:44:7	عَلِيّ
6:44:11	حَتَّىٰ
6:46:21	ثُمّ
6:48:12	عَلِيّ
6:51:16	لَعَلّ
6:52:11	عَلِيّ
6:52:19	عَلِيّ
6:53:9	عَلِيّ
6:54:20	ثُمّ
6:60:9	ثُمّ
6:60:15	ثُمّ
6:60:18	ثُمّ
6:61:8	حَتَّىٰ
6:62:1	ثُمّ
6:64:8	ثُمّ
6:65:26	لَعَلّ
6:68:9	حَتَّىٰ
6:69:11	لَعَلّ
6:76:3	عَلِيّ
6:81:16	أَىّ
6:84:14	يَمّ
6:84:15	أَيُّوب
6:85:1	زَكَرِيَّا
6:90:10	عَلِيّ
6:104:11	عَلِيّ
6:107:8	عَلِيّ
6:107:12	عَلِيّ
6:108:18	ثُمّ
6:111:9	عَلِيّ
6:118:6	عَلِيّ
6:119:3	أَلَآ
6:119:9	عَلِيّ
6:121:8	عَلِيّ
6:124:7	حَتَّىٰ
6:137:11	عَلِيّ
6:138:20	عَلِيّ
6:138:22	عَلِيّ
6:143:16	عَلِيّ
6:144:14	عَلِيّ
6:146:12	عَلِيّ
6:148:20	حَتَّىٰ
6:154:1	ثُمّ
6:154:14	لَعَلّ
6:155:7	لَعَلّ
6:157:6	عَلِيّ
6:159:15	ثُمّ
6:164:15	عَلِيّ
6:164:21	ثُمّ
37:31:2	عَلِيّ
37:45:2	عَلِيّ
37:60:3	لَهْو
37:67:1	ثُمّ
37:67:4	عَلِيّ
37:68:1	ثُمّ
37:78:2	عَلِيّ
37:82:1	ثُمّ
37:93:2	عَلِيّ
37:106:3	لَهْو
37:108:2	عَلِيّ
37:113:2	عَلِيّ
37:129:2	عَلِيّ
37:136:1	ثُمّ
37:137:3	عَلِيّ
37:146:2	عَلِيّ
37:162:3	عَلِيّ
37:174:3	حَتَّىٰ
37:178:3	حَتَّىٰ
31:7:3	عَلِيّ
31:12:3	ـَٰٔن
31:13:3	ـَٰٔن
31:15:23	ثُمّ
31:21:13	عَلِيّ
31:24:3	ثُمّ
31:33:1	أَيُّهَا
31:34:21	أَىّ
34:9:19	عَلِيّ
34:12:1	يَمّ
34:14:3	عَلِيّ
34:16:3	عَلِيّ
34:20:3	عَلِيّ
34:21:4	عَلِيّ
34:23:9	حَتَّىٰ
34:24:11	إِيَّا
34:25:4	عَمّ
34:26:5	ثُمّ
34:27:7	كَلَّا
34:40:4	ثُمّ
34:40:8	إِيَّا
34:43:3	عَلِيّ
34:46:10	ثُمّ
39:6:5	ثُمّ
39:7:20	ثُمّ
39:8:9	ثُمّ
39:19:3	عَلِيّ
39:21:13	ثُمّ
39:21:19	ثُمّ
39:21:23	ثُمّ
39:23:14	ثُمّ
39:27:10	لَعَلّ
39:28:6	لَعَلّ
39:31:1	ثُمّ
39:32:13	جَهَنَّم
39:38:34	عَلِيّ
39:40:6	عَلِيّ
39:41:3	عَلِيّ
39:41:14	عَلِيّ
39:41:17	عَلِيّ
39:42:14	عَلِيّ
39:44:9	ثُمّ
39:49:6	ثُمّ
39:54:11	ثُمّ
39:60:12	جَهَنَّم
39:64:6	أَيُّهَا
39:68:15	ثُمّ
39:71:5	جَهَنَّم
39:71:7	حَتَّىٰ
39:72:4	جَهَنَّم
39:73:8	حَتَّىٰ
40:24:3	ـَٰٔن
40:28:23	عَلِيّ
40:34:14	حَتَّىٰ
40:36:3	ـَٰٔن
40:46:3	عَلِيّ
40:49:6	جَهَنَّم
40:60:12	جَهَنَّم
40:67:6	ثُمّ
40:67:9	ثُمّ
40:67:12	ثُمّ
40:67:15	ثُمّ
40:67:18	ثُمّ
40:67:29	لَعَلّ
40:72:3	ثُمّ
40:73:1	ثُمّ
40:76:3	جَهَنَّم
40:78:9	عَلِيّ
40:78:14	عَلِيّ
40:80:5	عَلِيّ
40:80:9	عَلِيّ
40:81:3	أَىّ
41:11:1	ثُمّ
41:14:9	أَلَآ
41:16:2	عَلِيّ
41:20:1	حَتَّىٰ
41:20:6	عَلِيّ
41:21:5	عَلِيّ
41:25:12	عَلِيّ
41:26:10	لَعَلّ
41:30:6	ثُمّ
41:30:9	عَلِيّ
41:30:11	أَلَآ
41:37:18	إِيَّا
41:39:9	عَلِيّ
41:40:8	عَلِيّ
41:44:24	عَلِيّ
41:46:7	عَلِيّ
41:52:8	ثُمّ
41:53:7	حَتَّىٰ
42:6:8	عَلِيّ
42:6:11	عَلِيّ
42:10:12	عَلِيّ
42:16:14	عَلِيّ
42:17:9	لَعَلّ
42:41:7	عَلِيّ
42:45:3	عَلِيّ
42:48:5	عَلِيّ
42:48:8	عَلِيّ
43:3:5	لَعَلّ
43:10:10	لَعَلّ
43:13:4	ثُمّ
43:13:10	عَلِيّ
43:24:7	عَلِيّ
43:28:6	لَعَلّ
43:29:5	حَتَّىٰ
43:33:16	عَلِيّ
43:34:4	عَلِيّ
43:38:1	حَتَّىٰ
43:42:6	عَلِيّ
43:48:12	لَعَلّ
43:53:3	عَلِيّ
43:59:6	عَلِيّ
43:71:2	عَلِيّ
43:74:5	جَهَنَّم
43:77:4	عَلِيّ
43:83:4	حَتَّىٰ
44:14:1	ثُمّ
44:29:3	عَلِيّ
44:37:5	تُبَّع
44:48:1	ثُمّ
44:58:4	لَعَلّ
45:6:5	عَلِيّ
45:6:7	أَىّ
45:8:5	عَلِيّ
45:8:6	ثُمّ
45:10:3	جَهَنَّم
45:12:13	لَعَلّ
45:15:7	عَلِيّ
45:15:8	ثُمّ
45:18:1	ثُمّ
45:25:3	عَلِيّ
45:26:4	ثُمّ
45:26:6	ثُمّ
46:3:13	عَمّ
46:7:3	عَلِيّ
46:13:6	ثُمّ
46:13:10	عَلِيّ
46:18:4	عَلِيّ
46:21:16	أَلَآ
46:26:3	يَمّ
46:27:9	لَعَلّ
51:12:2	أَيَّان
51:25:3	عَلِيّ
51:31:4	أَيُّهَا
51:33:2	عَلِيّ
51:41:5	عَلِيّ
51:42:6	عَلِيّ
51:43:7	حَتَّىٰ
51:49:6	لَعَلّ
88:22:2	عَلِيّ
88:26:1	ثُمّ
88:26:3	عَلِيّ
